name;rating;genre;year;votes;director;writer;star;country;budget;gross;company;;
The Exorcism of Emily Rose;PG-13;Drama;2005;122000.0;Scott Derrickson;Paul Harris Boardman;Laura Linney;United States;19000000.0;145166804.0;Screen Gems;;
Elektra;PG-13;Action;2005;89000.0;Rob Bowman;Mark Steven Johnson;Jennifer Garner;Canada;43000000.0;56995646.0;Twentieth Century Fox;;
Doom;R;Action;2005;110000.0;Andrzej Bartkowiak;Dave Callaham;Karl Urban;United Kingdom;60000000.0;58072119.0;John Wells Productions;;
The Legend of Zorro;PG;Action;2005;95000.0;Martin Campbell;Roberto Orci;Antonio Banderas;United States;75000000.0;142400065.0;Columbia Pictures;;
Cheaper by the Dozen 2;PG;Adventure;2005;56000.0;Adam Shankman;Sam Harper;Steve Martin;United States;60000000.0;130154568.0;Twentieth Century Fox;;
��on Flux;PG-13;Action;2005;125000.0;Karyn Kusama;Phil Hay;Charlize Theron;United States;62000000.0;53321673.0;Paramount Pictures;;
Son of the Mask;PG;Comedy;2005;53000.0;Lawrence Guterman;Lance Khazei;Jamie Kennedy;United States;84000000.0;59981548.0;New Line Cinema;;
The Producers;PG-13;Comedy;2005;42000.0;Susan Stroman;Mel Brooks;Nathan Lane;United States;45000000.0;38075318.0;Universal Pictures;;
The Ringer;PG-13;Comedy;2005;36000.0;Barry W. Blaustein;Ricky Blitt;Johnny Knoxville;United States;;40442443.0;Conundrum Entertainment;;
The Cave;PG-13;Action;2005;36000.0;Bruce Hunt;Michael Steinberg;Piper Perabo;United States;30000000.0;33296457.0;Screen Gems;;
Broken Flowers;R;Comedy;2005;100000.0;Jim Jarmusch;Jim Jarmusch;Bill Murray;France;10000000.0;47329961.0;Focus Features;;
Fun with Dick and Jane;PG-13;Comedy;2005;139000.0;Dean Parisot;Judd Apatow;Jim Carrey;United States;100000000.0;204681899.0;Columbia Pictures;;
Imagine Me & You;R;Comedy;2005;31000.0;Ol Parker;Ol Parker;Piper Perabo;United Kingdom;7900000.0;2635305.0;BBC Films;;
The Family Stone;PG-13;Comedy;2005;63000.0;Thomas Bezucha;Thomas Bezucha;Dermot Mulroney;United States;18000000.0;92884429.0;The Family Stone;;
Just Like Heaven;PG-13;Comedy;2005;101000.0;Mark Waters;Peter Tolan;Reese Witherspoon;United States;58000000.0;102854431.0;Dreamworks Pictures;;
Capote;R;Biography;2005;128000.0;Bennett Miller;Dan Futterman;Philip Seymour Hoffman;United States;7000000.0;49327405.0;United Artists;;
The Skeleton Key;PG-13;Drama;2005;108000.0;Iain Softley;Ehren Kruger;Kate Hudson;United States;43000000.0;93983911.0;Universal Pictures;;
The Squid and the Whale;R;Comedy;2005;80000.0;Noah Baumbach;Noah Baumbach;Owen Kline;United States;1500000.0;11098131.0;Samuel Goldwyn Films;;
Land of the Dead;R;Horror;2005;93000.0;George A. Romero;George A. Romero;John Leguizamo;United States;15000000.0;47074133.0;Universal Pictures;;
